"","Beginning\
Workforce\
(n)","New\
Hires\
(n)","Left City\
After One Yr\
(n)","Switched\
Agencies\
(n)","Same Agencies\
After One Yr\
(n)","Same Agencies\
After Two Yrs\
(n)","Same Agencies\
After Three Yrs\
(n)","Same Agencies\
After Four Yrs\
(n)"
"2011",14108,,1511,78,12519,11063,10069,9167
"2012",14235,1638,1640,321,12274,11012,9956,
"2013",14325,1730,1737,71,12517,11136,,
"2014",14067,1479,1612,171,12284,,,
"2015",13960,1505,,,,,,
