"","Beginning\
Workforce\
(n)","New\
Hires\
(n)","Left City\
After One Yr\
(n)","Switched\
Agencies\
(n)","Same Agencies\
After One Yr\
(n)","Same Agencies\
After Two Yrs\
(n)","Same Agencies\
After Three Yrs\
(n)","Same Agencies\
After Four Yrs\
(n)"
"2011",14457,,1845,84,12528,11070,10076,9167
"2012",16052,3440,2754,337,12961,11295,9956,
"2013",19140,5842,4799,86,14255,11143,,
"2014",18985,4644,6491,191,12303,,,
"2015",14019,1525,,,,,,
